Country Name,Date,Stringency Index,Government Response Index,Containment Health Index,Economic Support Index
Australia,20200122,0,0,0,0
Australia,20200123,0,0,0,0
Australia,20200124,0,0,0,0
Australia,20200125,5.56,11.46,13.1,0
Australia,20200126,5.56,11.46,13.1,0
Australia,20200127,5.56,11.46,13.1,0
Australia,20200128,5.56,11.46,13.1,0
Australia,20200129,5.56,11.46,13.1,0
Australia,20200130,5.56,11.46,13.1,0
Australia,20200131,5.56,11.46,13.1,0
Australia,20200201,13.89,16.15,18.45,0
Australia,20200202,13.89,16.15,18.45,0
Australia,20200203,19.44,19.27,22.02,0
Australia,20200204,19.44,19.27,22.02,0
Australia,20200205,19.44,19.27,22.02,0
Australia,20200206,19.44,19.27,22.02,0
Australia,20200207,19.44,19.27,22.02,0
Australia,20200208,19.44,19.27,22.02,0
Australia,20200209,19.44,19.27,22.02,0
Australia,20200210,19.44,19.27,22.02,0
Australia,20200211,19.44,19.27,22.02,0
Australia,20200212,19.44,19.27,22.02,0
Australia,20200213,19.44,19.27,22.02,0
Australia,20200214,19.44,19.27,22.02,0
Australia,20200215,19.44,19.27,22.02,0
Australia,20200216,19.44,19.27,22.02,0
Australia,20200217,19.44,19.27,22.02,0
Australia,20200218,19.44,19.27,22.02,0
Australia,20200219,19.44,19.27,22.02,0
Australia,20200220,19.44,19.27,22.02,0
Australia,20200221,19.44,19.27,22.02,0
Australia,20200222,19.44,19.27,22.02,0
Australia,20200223,19.44,19.27,22.02,0
Australia,20200224,19.44,19.27,22.02,0
Australia,20200225,19.44,19.27,22.02,0
Australia,20200226,19.44,19.27,22.02,0
Australia,20200227,19.44,19.27,22.02,0
Australia,20200228,19.44,19.27,22.02,0
Australia,20200229,19.44,19.27,22.02,0
Australia,20200301,19.44,19.27,22.02,0
Australia,20200302,19.44,19.27,22.02,0
Australia,20200303,19.44,19.27,22.02,0
Australia,20200304,19.44,19.27,22.02,0
Australia,20200305,19.44,19.27,22.02,0
Australia,20200306,19.44,19.27,22.02,0
Australia,20200307,19.44,19.27,22.02,0
Australia,20200308,19.44,19.27,22.02,0
Australia,20200309,19.44,19.27,22.02,0
Australia,20200310,19.44,19.27,22.02,0
Australia,20200311,19.44,19.27,22.02,0
Australia,20200312,19.44,20.83,22.02,12.5
Australia,20200313,19.44,20.83,22.02,12.5
Australia,20200314,19.44,20.83,22.02,12.5
Australia,20200315,19.44,20.83,22.02,12.5
Australia,20200316,30.56,27.08,29.17,12.5
Australia,20200317,30.56,27.08,29.17,12.5
Australia,20200318,36.11,34.38,37.5,12.5
Australia,20200319,44.44,39.06,42.86,12.5
Australia,20200320,47.22,40.63,44.64,12.5
Australia,20200321,47.22,40.63,44.64,12.5
Australia,20200322,47.22,42.19,44.64,25
Australia,20200323,52.78,45.31,48.21,25
Australia,20200324,71.3,55.73,60.12,25
Australia,20200325,71.3,61.98,60.12,75
Australia,20200326,71.3,61.98,60.12,75
Australia,20200327,71.3,61.98,60.12,75
Australia,20200328,71.3,61.98,60.12,75
Australia,20200329,71.3,61.98,60.12,75
Australia,20200330,71.3,61.98,60.12,75
Australia,20200331,71.3,61.98,60.12,75
Australia,20200401,71.3,61.98,60.12,75
Australia,20200402,73.15,61.98,60.12,75
Australia,20200403,73.15,61.98,60.12,75
Australia,20200404,73.15,61.98,60.12,75
Australia,20200405,73.15,61.98,60.12,75
Australia,20200406,73.15,61.98,60.12,75
Australia,20200407,73.15,61.98,60.12,75
Australia,20200408,73.15,61.98,60.12,75
Australia,20200409,73.15,61.98,60.12,75
Australia,20200410,73.15,61.98,60.12,75
