Date,Country,People Vaccinated,People Vaccinated per 100,People Fully Vaccinated,People Fully Vaccinated per 100,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths,Stringency Index,Government Response Index,Containment Index,Economic Support Index
22/1/2020,Australia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23/1/2020,Australia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24/1/2020,Australia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25/1/2020,Australia,0,0,0,0,1,1,0,0,5.56,11.46,13.1,0.0
26/1/2020,Australia,0,0,0,0,3,4,0,0,5.56,11.46,13.1,0.0
27/1/2020,Australia,0,0,0,0,0,4,0,0,5.56,11.46,13.1,0.0
28/1/2020,Australia,0,0,0,0,1,5,0,0,5.56,11.46,13.1,0.0
29/1/2020,Australia,0,0,0,0,0,5,0,0,5.56,11.46,13.1,0.0
30/1/2020,Australia,0,0,0,0,2,7,0,0,5.56,11.46,13.1,0.0
31/1/2020,Australia,0,0,0,0,2,9,0,0,5.56,11.46,13.1,0.0
1/2/2020,Australia,0,0,0,0,0,9,0,0,13.89,16.15,18.45,0.0
2/2/2020,Australia,0,0,0,0,3,12,0,0,13.89,16.15,18.45,0.0
3/2/2020,Australia,0,0,0,0,0,12,0,0,19.44,19.27,22.02,0.0
4/2/2020,Australia,0,0,0,0,0,12,0,0,19.44,19.27,22.02,0.0
5/2/2020,Australia,0,0,0,0,1,13,0,0,19.44,19.27,22.02,0.0
6/2/2020,Australia,0,0,0,0,1,14,0,0,19.44,19.27,22.02,0.0
7/2/2020,Australia,0,0,0,0,1,15,0,0,19.44,19.27,22.02,0.0
8/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
9/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
10/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
11/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
12/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
13/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
14/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
15/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
16/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
17/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
18/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
19/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
20/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
21/2/2020,Australia,0,0,0,0,0,15,0,0,19.44,19.27,22.02,0.0
22/2/2020,Australia,0,0,0,0,6,21,0,0,19.44,19.27,22.02,0.0
23/2/2020,Australia,0,0,0,0,1,22,0,0,19.44,19.27,22.02,0.0
24/2/2020,Australia,0,0,0,0,0,22,0,0,19.44,19.27,22.02,0.0
25/2/2020,Australia,0,0,0,0,0,22,0,0,19.44,19.27,22.02,0.0
26/2/2020,Australia,0,0,0,0,1,23,0,0,19.44,19.27,22.02,0.0
27/2/2020,Australia,0,0,0,0,0,23,0,0,19.44,19.27,22.02,0.0
28/2/2020,Australia,0,0,0,0,0,23,0,0,19.44,19.27,22.02,0.0
29/2/2020,Australia,0,0,0,0,2,25,0,0,19.44,19.27,22.02,0.0
1/3/2020,Australia,0,0,0,0,0,25,1,1,19.44,19.27,22.02,0.0
2/3/2020,Australia,0,0,0,0,4,29,0,1,19.44,19.27,22.02,0.0
3/3/2020,Australia,0,0,0,0,0,29,0,1,19.44,19.27,22.02,0.0
4/3/2020,Australia,0,0,0,0,4,33,1,2,19.44,19.27,22.02,0.0
5/3/2020,Australia,0,0,0,0,10,43,0,2,19.44,19.27,22.02,0.0
6/3/2020,Australia,0,0,0,0,14,57,0,2,19.44,19.27,22.02,0.0
7/3/2020,Australia,0,0,0,0,6,63,0,2,19.44,19.27,22.02,0.0
8/3/2020,Australia,0,0,0,0,7,70,1,3,19.44,19.27,22.02,0.0
9/3/2020,Australia,0,0,0,0,7,77,0,3,19.44,19.27,22.02,0.0
10/3/2020,Australia,0,0,0,0,15,92,0,3,19.44,19.27,22.02,0.0
11/3/2020,Australia,0,0,0,0,8,100,0,3,19.44,19.27,22.02,0.0
12/3/2020,Australia,0,0,0,0,22,122,0,3,19.44,20.83,22.02,12.5
13/3/2020,Australia,0,0,0,0,18,140,0,3,19.44,20.83,22.02,12.5
14/3/2020,Australia,0,0,0,0,57,197,0,3,19.44,20.83,22.02,12.5
15/3/2020,Australia,0,0,0,0,52,249,0,3,19.44,20.83,22.02,12.5
16/3/2020,Australia,0,0,0,0,49,298,0,3,30.56,27.08,29.17,12.5
17/3/2020,Australia,0,0,0,0,38,336,2,5,30.56,27.08,29.17,12.5
18/3/2020,Australia,0,0,0,0,78,414,1,6,36.11,34.38,37.5,12.5
19/3/2020,Australia,0,0,0,0,151,565,0,6,44.44,39.06,42.86,12.5
20/3/2020,Australia,0,0,0,0,126,691,1,7,47.22,40.63,44.64,12.5
21/3/2020,Australia,0,0,0,0,182,873,0,7,47.22,40.63,44.64,12.5
22/3/2020,Australia,0,0,0,0,208,1081,0,7,47.22,42.19,44.64,25.0
23/3/2020,Australia,0,0,0,0,315,1396,0,7,52.78,45.31,48.21,25.0
24/3/2020,Australia,0,0,0,0,313,1709,1,8,71.3,55.73,60.12,25.0
25/3/2020,Australia,0,0,0,0,543,2252,0,8,71.3,61.98,60.12,75.0
26/3/2020,Australia,0,0,0,0,171,2423,5,13,71.3,61.98,60.12,75.0
27/3/2020,Australia,0,0,0,0,562,2985,0,13,71.3,61.98,60.12,75.0
28/3/2020,Australia,0,0,0,0,393,3378,1,14,71.3,61.98,60.12,75.0
29/3/2020,Australia,0,0,0,0,431,3809,2,16,71.3,61.98,60.12,75.0
30/3/2020,Australia,0,0,0,0,284,4093,1,17,71.3,61.98,60.12,75.0
31/3/2020,Australia,0,0,0,0,266,4359,1,18,71.3,61.98,60.12,75.0
1/4/2020,Australia,0,0,0,0,348,4707,2,20,71.3,61.98,60.12,75.0
2/4/2020,Australia,0,0,0,0,269,4976,4,24,73.15,61.98,60.12,75.0
3/4/2020,Australia,0,0,0,0,248,5224,4,28,73.15,61.98,60.12,75.0
4/4/2020,Australia,0,0,0,0,230,5454,2,30,73.15,61.98,60.12,75.0
5/4/2020,Australia,0,0,0,0,181,5635,5,35,73.15,61.98,60.12,75.0
6/4/2020,Australia,0,0,0,0,109,5744,5,40,73.15,61.98,60.12,75.0
7/4/2020,Australia,0,0,0,0,100,5844,5,45,73.15,61.98,60.12,75.0
8/4/2020,Australia,0,0,0,0,112,5956,5,50,73.15,61.98,60.12,75.0
9/4/2020,Australia,0,0,0,0,96,6052,1,51,73.15,61.98,60.12,75.0
