Date,Country,Cumulative Deaths,New Deaths
22/1/2020,Australia,0,0
23/1/2020,Australia,0,0
24/1/2020,Australia,0,0
25/1/2020,Australia,0,0
26/1/2020,Australia,0,0
27/1/2020,Australia,0,0
28/1/2020,Australia,0,0
29/1/2020,Australia,0,0
30/1/2020,Australia,0,0
31/1/2020,Australia,0,0
1/2/2020,Australia,0,0
2/2/2020,Australia,0,0
3/2/2020,Australia,0,0
4/2/2020,Australia,0,0
5/2/2020,Australia,0,0
6/2/2020,Australia,0,0
7/2/2020,Australia,0,0
8/2/2020,Australia,0,0
9/2/2020,Australia,0,0
10/2/2020,Australia,0,0
11/2/2020,Australia,0,0
12/2/2020,Australia,0,0
13/2/2020,Australia,0,0
14/2/2020,Australia,0,0
15/2/2020,Australia,0,0
16/2/2020,Australia,0,0
17/2/2020,Australia,0,0
18/2/2020,Australia,0,0
19/2/2020,Australia,0,0
20/2/2020,Australia,0,0
21/2/2020,Australia,0,0
22/2/2020,Australia,0,0
23/2/2020,Australia,0,0
24/2/2020,Australia,0,0
25/2/2020,Australia,0,0
26/2/2020,Australia,0,0
27/2/2020,Australia,0,0
28/2/2020,Australia,0,0
29/2/2020,Australia,0,0
1/3/2020,Australia,1,1
2/3/2020,Australia,1,0
3/3/2020,Australia,1,0
4/3/2020,Australia,2,1
5/3/2020,Australia,2,0
6/3/2020,Australia,2,0
7/3/2020,Australia,2,0
8/3/2020,Australia,3,1
9/3/2020,Australia,3,0
10/3/2020,Australia,3,0
11/3/2020,Australia,3,0
12/3/2020,Australia,3,0
13/3/2020,Australia,3,0
14/3/2020,Australia,3,0
15/3/2020,Australia,3,0
16/3/2020,Australia,3,0
17/3/2020,Australia,5,2
18/3/2020,Australia,6,1
19/3/2020,Australia,6,0
20/3/2020,Australia,7,1
21/3/2020,Australia,7,0
22/3/2020,Australia,7,0
23/3/2020,Australia,7,0
24/3/2020,Australia,8,1
25/3/2020,Australia,8,0
26/3/2020,Australia,13,5
27/3/2020,Australia,13,0
28/3/2020,Australia,14,1
29/3/2020,Australia,16,2
30/3/2020,Australia,17,1
31/3/2020,Australia,18,1
1/4/2020,Australia,20,2
2/4/2020,Australia,24,4
3/4/2020,Australia,28,4
4/4/2020,Australia,30,2
