Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases
3/1/20,AU,Australia,WPRO,0,0
4/1/20,AU,Australia,WPRO,0,0
5/1/20,AU,Australia,WPRO,0,0
6/1/20,AU,Australia,WPRO,0,0
7/1/20,AU,Australia,WPRO,0,0
8/1/20,AU,Australia,WPRO,0,0
9/1/20,AU,Australia,WPRO,0,0
10/1/20,AU,Australia,WPRO,0,0
11/1/20,AU,Australia,WPRO,0,0
12/1/20,AU,Australia,WPRO,0,0
13/1/20,AU,Australia,WPRO,0,0
14/1/20,AU,Australia,WPRO,0,0
15/1/20,AU,Australia,WPRO,0,0
16/1/20,AU,Australia,WPRO,0,0
17/1/20,AU,Australia,WPRO,0,0
18/1/20,AU,Australia,WPRO,0,0
19/1/20,AU,Australia,WPRO,0,0
20/1/20,AU,Australia,WPRO,0,0
21/1/20,AU,Australia,WPRO,0,0
22/1/20,AU,Australia,WPRO,0,0
23/1/20,AU,Australia,WPRO,0,0
24/1/20,AU,Australia,WPRO,0,0
25/1/20,AU,Australia,WPRO,1,1
26/1/20,AU,Australia,WPRO,3,4
27/1/20,AU,Australia,WPRO,0,4
28/1/20,AU,Australia,WPRO,1,5
29/1/20,AU,Australia,WPRO,0,5
30/1/20,AU,Australia,WPRO,2,7
31/1/20,AU,Australia,WPRO,2,9
1/2/20,AU,Australia,WPRO,0,9
2/2/20,AU,Australia,WPRO,3,12
3/2/20,AU,Australia,WPRO,0,12
4/2/20,AU,Australia,WPRO,0,12
5/2/20,AU,Australia,WPRO,1,13
6/2/20,AU,Australia,WPRO,1,14
7/2/20,AU,Australia,WPRO,1,15
8/2/20,AU,Australia,WPRO,0,15
9/2/20,AU,Australia,WPRO,0,15
10/2/20,AU,Australia,WPRO,0,15
11/2/20,AU,Australia,WPRO,0,15
12/2/20,AU,Australia,WPRO,0,15
13/2/20,AU,Australia,WPRO,0,15
14/2/20,AU,Australia,WPRO,0,15
15/2/20,AU,Australia,WPRO,0,15
16/2/20,AU,Australia,WPRO,0,15
17/2/20,AU,Australia,WPRO,0,15
18/2/20,AU,Australia,WPRO,0,15
19/2/20,AU,Australia,WPRO,0,15
20/2/20,AU,Australia,WPRO,0,15
21/2/20,AU,Australia,WPRO,0,15
22/2/20,AU,Australia,WPRO,6,21
23/2/20,AU,Australia,WPRO,1,22
24/2/20,AU,Australia,WPRO,0,22
25/2/20,AU,Australia,WPRO,0,22
26/2/20,AU,Australia,WPRO,1,23
27/2/20,AU,Australia,WPRO,0,23
28/2/20,AU,Australia,WPRO,0,23
29/2/20,AU,Australia,WPRO,2,25
1/3/20,AU,Australia,WPRO,0,25
2/3/20,AU,Australia,WPRO,4,29
3/3/20,AU,Australia,WPRO,0,29
4/3/20,AU,Australia,WPRO,4,33
5/3/20,AU,Australia,WPRO,10,43
6/3/20,AU,Australia,WPRO,14,57
7/3/20,AU,Australia,WPRO,6,63
8/3/20,AU,Australia,WPRO,7,70
9/3/20,AU,Australia,WPRO,7,77
10/3/20,AU,Australia,WPRO,15,92
11/3/20,AU,Australia,WPRO,8,100
12/3/20,AU,Australia,WPRO,22,122
13/3/20,AU,Australia,WPRO,18,140
14/3/20,AU,Australia,WPRO,57,197
15/3/20,AU,Australia,WPRO,52,249
16/3/20,AU,Australia,WPRO,49,298
17/3/20,AU,Australia,WPRO,38,336
18/3/20,AU,Australia,WPRO,78,414
19/3/20,AU,Australia,WPRO,151,565
20/3/20,AU,Australia,WPRO,126,691
21/3/20,AU,Australia,WPRO,182,873
22/3/20,AU,Australia,WPRO,208,1081
23/3/20,AU,Australia,WPRO,315,1396
24/3/20,AU,Australia,WPRO,313,1709
25/3/20,AU,Australia,WPRO,543,2252
26/3/20,AU,Australia,WPRO,171,2423
27/3/20,AU,Australia,WPRO,562,2985
28/3/20,AU,Australia,WPRO,393,3378
29/3/20,AU,Australia,WPRO,431,3809
30/3/20,AU,Australia,WPRO,284,4093
31/3/20,AU,Australia,WPRO,266,4359
1/4/20,AU,Australia,WPRO,348,4707
2/4/20,AU,Australia,WPRO,269,4976
3/4/20,AU,Australia,WPRO,248,5224
4/4/20,AU,Australia,WPRO,230,5454
5/4/20,AU,Australia,WPRO,181,5635
6/4/20,AU,Australia,WPRO,109,5744
7/4/20,AU,Australia,WPRO,100,5844
8/4/20,AU,Australia,WPRO,112,5956
9/4/20,AU,Australia,WPRO,96,6052
10/4/20,AU,Australia,WPRO,100,6152
11/4/20,AU,Australia,WPRO,86,6238
12/4/20,AU,Australia,WPRO,51,6289
13/4/20,AU,Australia,WPRO,33,6322
14/4/20,AU,Australia,WPRO,44,6366
15/4/20,AU,Australia,WPRO,50,6416
16/4/20,AU,Australia,WPRO,42,6458
17/4/20,AU,Australia,WPRO,10,6468
18/4/20,AU,Australia,WPRO,65,6533
19/4/20,AU,Australia,WPRO,53,6586
20/4/20,AU,Australia,WPRO,26,6612
21/4/20,AU,Australia,WPRO,13,6625
22/4/20,AU,Australia,WPRO,22,6647
23/4/20,AU,Australia,WPRO,7,6654
24/4/20,AU,Australia,WPRO,13,6667
25/4/20,AU,Australia,WPRO,20,6687
26/4/20,AU,Australia,WPRO,16,6703
27/4/20,AU,Australia,WPRO,10,6713
28/4/20,AU,Australia,WPRO,12,6725
29/4/20,AU,Australia,WPRO,13,6738
30/4/20,AU,Australia,WPRO,8,6746
1/5/20,AU,Australia,WPRO,16,6762
2/5/20,AU,Australia,WPRO,5,6767
3/5/20,AU,Australia,WPRO,16,6783
4/5/20,AU,Australia,WPRO,18,6801
5/5/20,AU,Australia,WPRO,24,6825
6/5/20,AU,Australia,WPRO,24,6849
7/5/20,AU,Australia,WPRO,26,6875
8/5/20,AU,Australia,WPRO,21,6896
9/5/20,AU,Australia,WPRO,18,6914
10/5/20,AU,Australia,WPRO,15,6929
11/5/20,AU,Australia,WPRO,12,6941
12/5/20,AU,Australia,WPRO,7,6948
13/5/20,AU,Australia,WPRO,16,6964
14/5/20,AU,Australia,WPRO,11,6975
15/5/20,AU,Australia,WPRO,14,6989
16/5/20,AU,Australia,WPRO,30,7019
17/5/20,AU,Australia,WPRO,17,7036
18/5/20,AU,Australia,WPRO,9,7045
19/5/20,AU,Australia,WPRO,15,7060
20/5/20,AU,Australia,WPRO,8,7068
21/5/20,AU,Australia,WPRO,11,7079
22/5/20,AU,Australia,WPRO,2,7081
23/5/20,AU,Australia,WPRO,14,7095
24/5/20,AU,Australia,WPRO,11,7106
25/5/20,AU,Australia,WPRO,3,7109
26/5/20,AU,Australia,WPRO,9,7118
27/5/20,AU,Australia,WPRO,15,7133
28/5/20,AU,Australia,WPRO,6,7139
29/5/20,AU,Australia,WPRO,11,7150
30/5/20,AU,Australia,WPRO,23,7173
31/5/20,AU,Australia,WPRO,12,7185
1/6/20,AU,Australia,WPRO,10,7195
2/6/20,AU,Australia,WPRO,9,7204
3/6/20,AU,Australia,WPRO,17,7221
4/6/20,AU,Australia,WPRO,8,7229
5/6/20,AU,Australia,WPRO,11,7240
6/6/20,AU,Australia,WPRO,11,7251
7/6/20,AU,Australia,WPRO,4,7255
8/6/20,AU,Australia,WPRO,5,7260
9/6/20,AU,Australia,WPRO,5,7265
10/6/20,AU,Australia,WPRO,2,7267
11/6/20,AU,Australia,WPRO,0,7267
12/6/20,AU,Australia,WPRO,18,7285
13/6/20,AU,Australia,WPRO,5,7290
14/6/20,AU,Australia,WPRO,12,7302
15/6/20,AU,Australia,WPRO,18,7320
16/6/20,AU,Australia,WPRO,15,7335
17/6/20,AU,Australia,WPRO,12,7347
18/6/20,AU,Australia,WPRO,23,7370
19/6/20,AU,Australia,WPRO,21,7391
20/6/20,AU,Australia,WPRO,18,7409
21/6/20,AU,Australia,WPRO,27,7436
22/6/20,AU,Australia,WPRO,25,7461
23/6/20,AU,Australia,WPRO,13,7474
24/6/20,AU,Australia,WPRO,18,7492
25/6/20,AU,Australia,WPRO,29,7521
26/6/20,AU,Australia,WPRO,37,7558
27/6/20,AU,Australia,WPRO,37,7595
28/6/20,AU,Australia,WPRO,46,7641
29/6/20,AU,Australia,WPRO,45,7686
30/6/20,AU,Australia,WPRO,81,7767
1/7/20,AU,Australia,WPRO,67,7834
2/7/20,AU,Australia,WPRO,86,7920
3/7/20,AU,Australia,WPRO,81,8001
4/7/20,AU,Australia,WPRO,254,8255
5/7/20,AU,Australia,WPRO,107,8362
6/7/20,AU,Australia,WPRO,87,8449
7/7/20,AU,Australia,WPRO,137,8586
8/7/20,AU,Australia,WPRO,169,8755
9/7/20,AU,Australia,WPRO,131,8886
10/7/20,AU,Australia,WPRO,173,9059
11/7/20,AU,Australia,WPRO,300,9359
12/7/20,AU,Australia,WPRO,194,9553
13/7/20,AU,Australia,WPRO,244,9797
14/7/20,AU,Australia,WPRO,183,9980
15/7/20,AU,Australia,WPRO,271,10251
16/7/20,AU,Australia,WPRO,244,10495
17/7/20,AU,Australia,WPRO,315,10810
