Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,221134742,2837.046597,4095085,52.53786383,355094,4574089,58.68324224,63913,0.819971378,5499
United States of America,Americas,39795201,12022.62,992748,299.92,0,643757,194.49,10181,3.08,0
India,South-East Asia,33058843,2395.56,289963,21.01,31222,441042,31.96,2482,0.18,290
Brazil,Americas,20890779,9828.21,148964,70.08,12915,583628,274.57,4320,2.03,266
Russian Federation,Europe,7047880,4829.48,128915,88.34,17425,188785,129.36,5561,3.81,795
The United Kingdom,Europe,7018931,10339.29,261277,384.88,40801,133274,196.32,789,1.16,45
France,Europe,6644114,10215.53,88656,136.31,2310,113241,174.11,643,0.99,88
Turkey,Europe,6519016,7729.53,152578,180.91,20962,58377,69.22,1919,2.28,271
Argentina,Americas,5203802,11513.91,30271,66.98,1397,112511,248.94,1128,2.5,67
Iran (Islamic Republic of),Eastern Mediterranean,5156986,6139.78,196242,233.64,27579,111257,132.46,4106,4.89,583
Colombia,Americas,4918649,9666.61,13391,26.32,1669,125278,246.21,467,0.92,48
Spain,Europe,4887394,10325.64,30320,64.06,1060,84928,179.43,285,0.6,7
Italy,Europe,4574787,7670.48,40288,67.55,3347,129567,217.24,421,0.71,52
Indonesia,South-East Asia,4133433,1511.18,43632,15.95,0,136473,49.89,3450,1.26,0
Germany,Europe,4017116,4830.2,74260,89.29,6726,92413,111.12,213,0.26,59
Mexico,Americas,3428384,2659.05,92684,71.89,7504,263140,204.09,4975,3.86,272
Poland,Europe,2891071,7616.47,2401,6.33,405,75392,198.62,47,0.12,13
South Africa,Africa,2824063,4761.63,53488,90.19,4118,83617,140.99,1787,3.01,198
Ukraine,Europe,2300504,5260.25,14208,32.49,2197,54054,123.6,265,0.61,53
Peru,Americas,2155034,6535.98,5807,17.61,902,198488,601.99,279,0.85,41
Philippines,Western Pacific,2103331,1919.43,127301,116.17,22415,34337,31.33,1007,0.92,103
Netherlands,Europe,1956348,11238.48,17713,101.75,2151,18040,103.63,42,0.24,3
Iraq,Eastern Mediterranean,1922942,4780.76,41729,103.75,5650,21162,52.61,398,0.99,62
Malaysia,Western Pacific,1862187,5753.53,136830,422.76,17352,18491,57.13,2109,6.52,272
Czechia,Europe,1681091,15720.04,1902,17.79,394,30408,284.35,4,0.04,2
Chile,Americas,1641526,8587.09,3196,16.72,435,37108,194.12,185,0.97,18
Japan,Western Pacific,1580517,1249.65,111190,87.91,9145,16387,12.96,393,0.31,33
Bangladesh,South-East Asia,1517166,921.23,16548,10.05,0,26628,16.17,433,0.26,0
Canada,Americas,1511212,4004.04,17691,46.87,0,27006,71.55,105,0.28,0
Thailand,South-East Asia,1308343,1874.42,103614,148.44,27809,13283,19.03,1694,2.43,241
Belgium,Europe,1196656,10385.44,10369,89.99,1,25421,220.62,41,0.36,2
Pakistan,Eastern Mediterranean,1182918,535.52,26637,12.06,3613,26232,11.88,562,0.25,57
Sweden,Europe,1130525,10946.65,6212,60.15,0,14692,142.26,0,0,0
Israel,Europe,1117596,12911.91,51765,598.06,0,7205,83.24,157,1.81,0
Romania,Europe,1109076,5737.93,10311,53.35,2033,34762,179.85,192,0.99,48
Portugal,Europe,1047710,10175.98,11691,113.55,663,17810,172.98,80,0.78,12
Kazakhstan,Europe,891783,4749.41,28202,150.2,0,14423,76.81,691,3.68,0
Morocco,Eastern Mediterranean,886008,2400.42,29959,81.17,4966,13145,35.61,605,1.64,152
Hungary,Europe,813818,8330.17,1481,15.16,130,30074,307.83,16,0.16,4
Jordan,Eastern Mediterranean,802349,7863.75,6090,59.69,2109,10477,102.68,79,0.77,14
Switzerland,Europe,792210,9153.61,14308,165.32,2,10483,121.13,26,0.3,0
Serbia,Europe,783826,11316,23874,344.67,4103,7398,106.8,120,1.73,19
Nepal,South-East Asia,770759,2645.31,8112,27.84,0,10858,37.27,108,0.37,0
United Arab Emirates,Eastern Mediterranean,724240,7322.65,6866,69.42,977,2048,20.71,9,0.09,2
Cuba,Americas,696904,6152.8,50391,444.89,7230,5788,51.1,569,5.02,85
Austria,Europe,693909,7795.8,11408,128.16,1363,10596,119.04,28,0.31,5
Tunisia,Eastern Mediterranean,675191,5712.94,11157,94.4,0,23846,201.77,395,3.34,0
Lebanon,Eastern Mediterranean,608041,8908.44,6815,99.85,1505,8114,118.88,66,0.97,25
Greece,Europe,601716,5613.77,17401,162.34,1765,13933,129.99,257,2.4,47
Georgia,Europe,567922,14236.58,18111,454,1965,7917,198.46,509,12.76,50
Saudi Arabia,Eastern Mediterranean,545367,1566.52,1142,3.28,124,8585,24.66,46,0.13,6
Viet Nam,Western Pacific,536788,551.46,87299,89.69,12481,13385,13.75,2321,2.38,311
Ecuador,Americas,503767,2855.33,2566,14.54,0,32351,183.36,107,0.61,0
Bolivia (Plurinational State of),Americas,492680,4220.67,2624,22.48,171,18512,158.59,101,0.87,5
Belarus,Europe,492399,5210.95,12035,127.36,1473,3847,40.71,79,0.84,10
Guatemala,Americas,487898,2723.32,22099,123.35,0,12265,68.46,379,2.12,0
Costa Rica,Americas,476709,9358.03,17018,334.07,2046,5618,110.28,147,2.89,25
Sri Lanka,South-East Asia,465949,2175.98,25647,119.77,0,10320,48.19,1135,5.3,0
Bulgaria,Europe,462710,6656.28,9021,129.77,677,19149,275.47,309,4.45,34
Panama,Americas,459844,10657.45,3178,73.65,325,7086,164.23,40,0.93,5
Paraguay,Americas,458884,6433.67,480,6.73,40,15995,224.25,272,3.81,6
Azerbaijan,Europe,445278,4391.66,24175,238.43,2406,5879,57.98,287,2.83,37
