location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million
Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,0,0,13921.0,1.27,1.13,0.14,0,349.0
Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,0,0,4822.0,1.38,1.18,0.19,0,121.0
Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,0,0,5692.0,1.44,1.2,0.24,0,143.0
Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,0,0,6768.0,1.48,1.2,0.28,0,170.0
Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,0,2859.0,6487.0,1.49,1.2,0.29,0,163.0
Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,0,0,4746.0,1.51,1.21,0.3,0,119.0
Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,0,0,5119.0,1.57,1.21,0.36,0,129.0
Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,0,4015.0,5285.0,1.58,1.21,0.37,0,133.0
Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,0,0,3388.0,1.61,1.21,0.4,0,85.0
Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,0,0,3272.0,1.66,1.22,0.44,0,82.0
Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,0,0,12986.0,1.92,1.46,0.46,0,326.0
Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,0,0,13682.0,2.1,1.63,0.47,0,343.0
Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,0,0,15286.0,2.23,1.76,0.47,0,384.0
Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,0,0,8989.0,2.3,1.82,0.48,0,226.0
Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,0,0,6801.0,2.35,1.85,0.5,0,171.0
Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,0,0,7455.0,2.42,1.87,0.55,0,187.0
Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,0,0,1119.0,3.02,1.93,1.08,0,28.0
Africa,OWID_AFR,2021-02-03,347149.0,38746.0,5.0,0,52022.0,45937.0,0.03,0.0,0.0,0,33.0
Africa,OWID_AFR,2021-02-04,390474.0,38746.0,5.0,0,43325.0,51671.0,0.03,0.0,0.0,0,38.0
Africa,OWID_AFR,2021-02-05,446986.0,38746.0,5.0,0,56512.0,59446.0,0.03,0.0,0.0,0,43.0
Africa,OWID_AFR,2021-02-06,504800.0,39248.0,1586.0,0,57814.0,54656.0,0.04,0.0,0.0,0,40.0
Africa,OWID_AFR,2021-02-08,593502.0,39373.0,3980.0,0,0,50970.0,0.04,0.0,0.0,0,37.0
Africa,OWID_AFR,2021-02-09,661263.0,39382.0,6700.0,0,67761.0,52305.0,0.05,0.0,0.0,0,38.0
Africa,OWID_AFR,2021-02-10,795836.0,39385.0,10335.0,0,134573.0,64098.0,0.06,0.0,0.0,0,47.0
Africa,OWID_AFR,2021-02-11,908796.0,39611.0,13867.0,0,112960.0,74046.0,0.07,0.0,0.0,0,54.0
Africa,OWID_AFR,2021-02-12,1165581.0,39611.0,13867.0,0,256785.0,102656.0,0.08,0.0,0.0,0,75.0
Africa,OWID_AFR,2021-02-13,1446178.0,43458.0,14181.0,0,280597.0,134483.0,0.11,0.0,0.0,0,98.0
Africa,OWID_AFR,2021-02-15,1766999.0,43467.0,16441.0,0,0,167642.0,0.13,0.0,0.0,0,122.0
Africa,OWID_AFR,2021-02-16,1965819.0,43474.0,18176.0,0,198820.0,186365.0,0.14,0.0,0.0,0,136.0
Africa,OWID_AFR,2021-02-17,2147659.0,47134.0,19512.0,0,181840.0,193118.0,0.16,0.0,0.0,0,141.0
Africa,OWID_AFR,2021-02-18,2304003.0,50215.0,22925.0,0,156344.0,199315.0,0.17,0.0,0.0,0,145.0
Africa,OWID_AFR,2021-02-19,2514038.0,2487572.0,32990.0,0,210035.0,192637.0,0.18,0.18,0.0,0,140.0
Africa,OWID_AFR,2021-02-20,2616970.0,2581895.0,45489.0,0,102932.0,167256.0,0.19,0.19,0.0,0,122.0
Africa,OWID_AFR,2021-02-21,2623735.0,2588660.0,50463.0,0,6765.0,145307.0,0.19,0.19,0.0,0,106.0
Africa,OWID_AFR,2021-02-22,2745898.0,2700632.0,68325.0,0,122163.0,139843.0,0.2,0.2,0.0,0,102.0
Africa,OWID_AFR,2021-02-23,2854362.0,2799750.0,86927.0,0,108464.0,126935.0,0.21,0.2,0.01,0,92.0
Africa,OWID_AFR,2021-02-24,3151789.0,3091099.0,102499.0,0,297427.0,143447.0,0.23,0.23,0.01,0,104.0
Africa,OWID_AFR,2021-02-25,3435126.0,3367981.0,119792.0,0,283337.0,161589.0,0.25,0.25,0.01,0,118.0
Africa,OWID_AFR,2021-02-26,3677781.0,3557825.0,183604.0,0,242655.0,166249.0,0.27,0.26,0.01,0,121.0
Africa,OWID_AFR,2021-02-27,3866524.0,3681069.0,252758.0,0,188743.0,178508.0,0.28,0.27,0.02,0,130.0
Africa,OWID_AFR,2021-02-28,3874251.0,3688796.0,255982.0,0,7727.0,178645.0,0.28,0.27,0.02,0,130.0
Africa,OWID_AFR,2021-03-01,4092105.0,3834895.0,330257.0,0,217854.0,192315.0,0.3,0.28,0.02,0,140.0
Africa,OWID_AFR,2021-03-02,4253030.0,3934943.0,394124.0,0,160925.0,199810.0,0.31,0.29,0.03,0,145.0
Africa,OWID_AFR,2021-03-03,4424425.0,4039134.0,468861.0,0,171395.0,181805.0,0.32,0.29,0.03,0,132.0
Africa,OWID_AFR,2021-03-04,4570416.0,4132764.0,529681.0,0,145991.0,162184.0,0.33,0.3,0.04,0,118.0
Africa,OWID_AFR,2021-03-05,4808377.0,4283815.0,624742.0,0,237961.0,161514.0,0.35,0.31,0.05,0,118.0
Africa,OWID_AFR,2021-03-06,5013434.0,4409872.0,705135.0,0,205057.0,163844.0,0.37,0.32,0.05,0,119.0
Africa,OWID_AFR,2021-03-07,5054444.0,4450882.0,705135.0,0,41010.0,168599.0,0.37,0.32,0.05,0,123.0
Africa,OWID_AFR,2021-03-08,5402720.0,4724802.0,779759.0,0,348276.0,187231.0,0.39,0.34,0.06,0,136.0
Africa,OWID_AFR,2021-03-09,5543143.0,4799463.0,850734.0,0,140423.0,184302.0,0.4,0.35,0.06,0,134.0
Africa,OWID_AFR,2021-03-10,5883345.0,5002177.0,1010055.0,0,340202.0,208417.0,0.43,0.36,0.07,0,152.0
Africa,OWID_AFR,2021-03-11,6071753.0,5072638.0,1137129.0,0,188408.0,214477.0,0.44,0.37,0.08,0,156.0
Africa,OWID_AFR,2021-03-12,6381772.0,5129777.0,1397210.0,0,310019.0,224771.0,0.46,0.37,0.1,0,164.0
Africa,OWID_AFR,2021-03-13,6785420.0,5286646.0,1644318.0,0,403648.0,253141.0,0.49,0.38,0.12,0,184.0
Africa,OWID_AFR,2021-03-14,6801943.0,5303169.0,1644318.0,0,16523.0,249643.0,0.5,0.39,0.12,0,182.0
Africa,OWID_AFR,2021-03-15,7194978.0,5400064.0,1942667.0,0,393035.0,256037.0,0.52,0.39,0.14,0,186.0
Africa,OWID_AFR,2021-03-16,7430457.0,5441219.0,2146524.0,0,235479.0,269616.0,0.54,0.4,0.16,0,196.0
Africa,OWID_AFR,2021-03-17,7632156.0,5487833.0,2312736.0,0,201699.0,249830.0,0.56,0.4,0.17,0,182.0
Africa,OWID_AFR,2021-03-18,7819596.0,5675022.0,2321849.0,0,187440.0,249692.0,0.57,0.41,0.17,0,182.0
Africa,OWID_AFR,2021-03-19,8102429.0,5746851.0,2563824.0,0,282833.0,245808.0,0.59,0.42,0.19,0,179.0
Africa,OWID_AFR,2021-03-20,8194788.0,5768178.0,2634856.0,0,92359.0,201338.0,0.6,0.42,0.19,0,147.0
Africa,OWID_AFR,2021-03-21,8216336.0,5789726.0,2634856.0,0,21548.0,202056.0,0.6,0.42,0.19,0,147.0
Africa,OWID_AFR,2021-03-22,8338577.0,5818325.0,2728498.0,0,122241.0,163371.0,0.61,0.42,0.2,0,119.0
Africa,OWID_AFR,2021-03-23,8484800.0,5892540.0,2820695.0,0,146223.0,150620.0,0.62,0.43,0.21,0,110.0
Africa,OWID_AFR,2021-03-24,9420911.0,6573493.0,3089404.0,0,936111.0,255536.0,0.69,0.48,0.22,0,186.0
Africa,OWID_AFR,2021-03-25,9709302.0,6633967.0,3329642.0,0,288391.0,269958.0,0.71,0.48,0.24,0,197.0
Africa,OWID_AFR,2021-03-26,9977830.0,6739396.0,3503614.0,0,268528.0,267914.0,0.73,0.49,0.26,0,195.0
Africa,OWID_AFR,2021-03-27,10303667.0,6963287.0,3606163.0,0,325837.0,301268.0,0.75,0.51,0.26,0,219.0
Africa,OWID_AFR,2021-03-28,10562516.0,7219473.0,3608826.0,0,258849.0,335169.0,0.77,0.53,0.26,0,244.0
Africa,OWID_AFR,2021-03-29,10775431.0,7306239.0,3743035.0,0,212915.0,348122.0,0.78,0.53,0.27,0,253.0
Africa,OWID_AFR,2021-03-30,10972216.0,7387591.0,3870510.0,0,196785.0,355345.0,0.8,0.54,0.28,0,259.0
Africa,OWID_AFR,2021-03-31,11476248.0,7745077.0,3995049.0,0,504032.0,293620.0,0.84,0.56,0.29,0,214.0
Africa,OWID_AFR,2021-04-01,11729825.0,7901390.0,4097537.0,0,253577.0,288646.0,0.85,0.58,0.3,0,210.0
Africa,OWID_AFR,2021-04-02,11883589.0,7978373.0,4174318.0,0,153764.0,272251.0,0.87,0.58,0.3,0,198.0
Africa,OWID_AFR,2021-04-03,12018828.0,8061917.0,4226013.0,0,135239.0,245023.0,0.88,0.59,0.31,0,178.0
Africa,OWID_AFR,2021-04-04,12082780.0,8132039.0,4226289.0,0,63952.0,217181.0,0.88,0.59,0.31,0,158.0
Africa,OWID_AFR,2021-04-05,12236282.0,8227187.0,4285890.0,0,153502.0,208693.0,0.89,0.6,0.31,0,152.0
Africa,OWID_AFR,2021-04-06,12575036.0,8521870.0,4333474.0,0,338754.0,228974.0,0.92,0.62,0.32,0,167.0
Africa,OWID_AFR,2021-04-07,12960258.0,8839889.0,4399278.0,0,385222.0,212001.0,0.94,0.64,0.32,0,154.0
Africa,OWID_AFR,2021-04-08,13685750.0,9528531.0,4443032.0,0,725492.0,279418.0,1.0,0.69,0.32,0,203.0
Africa,OWID_AFR,2021-04-09,13840825.0,9655739.0,4477593.0,0,155075.0,279605.0,1.01,0.7,0.33,0,204.0
Africa,OWID_AFR,2021-04-10,14000751.0,9777098.0,4516916.0,0,159926.0,283132.0,1.02,0.71,0.33,0,206.0
Africa,OWID_AFR,2021-04-11,14150137.0,9912181.0,4531219.0,0,149386.0,295337.0,1.03,0.72,0.33,0,215.0
Africa,OWID_AFR,2021-04-12,14259556.0,10023098.0,4533119.0,0,109419.0,289039.0,1.04,0.73,0.33,0,210.0
Africa,OWID_AFR,2021-04-13,14372773.0,10125649.0,4546621.0,0,113217.0,256820.0,1.05,0.74,0.33,0,187.0
Africa,OWID_AFR,2021-04-14,14720408.0,10461361.0,4558759.0,0,347635.0,251450.0,1.07,0.76,0.33,0,183.0
Africa,OWID_AFR,2021-04-15,14863081.0,10566041.0,4589663.0,0,142673.0,168190.0,1.08,0.77,0.33,0,122.0
Africa,OWID_AFR,2021-04-16,15071502.0,10763273.0,4600852.0,0,208421.0,175811.0,1.1,0.78,0.33,0,128.0
Africa,OWID_AFR,2021-04-17,15369995.0,11054635.0,4607983.0,0,298493.0,195606.0,1.12,0.8,0.34,0,142.0
Africa,OWID_AFR,2021-04-18,15940217.0,11602017.0,4630823.0,0,570222.0,255726.0,1.16,0.84,0.34,0,186.0
Africa,OWID_AFR,2021-04-19,16153571.0,11797570.0,4648624.0,0,213354.0,270574.0,1.18,0.86,0.34,0,197.0
Africa,OWID_AFR,2021-04-20,16319878.0,11948593.0,4663908.0,0,166307.0,278158.0,1.19,0.87,0.34,0,203.0
Africa,OWID_AFR,2021-04-21,16544360.0,12156917.0,4680066.0,0,224482.0,260565.0,1.2,0.89,0.34,0,190.0
Africa,OWID_AFR,2021-04-22,16629919.0,12230662.0,4691880.0,0,85559.0,252405.0,1.21,0.89,0.34,0,184.0
Africa,OWID_AFR,2021-04-23,16816072.0,12396061.0,4712634.0,0,186153.0,249224.0,1.22,0.9,0.34,0,181.0
Africa,OWID_AFR,2021-04-24,16889560.0,12454391.0,4727792.0,0,73488.0,217081.0,1.23,0.91,0.34,0,158.0
Africa,OWID_AFR,2021-04-25,16968624.0,12520417.0,4740830.0,0,79064.0,146915.0,1.24,0.91,0.35,0,107.0
Africa,OWID_AFR,2021-04-26,17067708.0,12604522.0,4755809.0,0,99084.0,130591.0,1.24,0.92,0.35,0,95.0
Africa,OWID_AFR,2021-04-27,17236944.0,12746364.0,4783203.0,0,169236.0,131009.0,1.25,0.93,0.35,0,95.0
Africa,OWID_AFR,2021-04-28,18296567.0,13765816.0,4828904.0,0,1059623.0,250315.0,1.33,1.0,0.35,0,182.0
Africa,OWID_AFR,2021-04-29,18412478.0,13863896.0,4856173.0,0,115911.0,254651.0,1.34,1.01,0.35,0,185.0
Africa,OWID_AFR,2021-04-30,18553633.0,13988174.0,4883115.0,0,141155.0,248223.0,1.35,1.02,0.36,0,181.0
Africa,OWID_AFR,2021-05-01,18680562.0,14102882.0,4896350.0,0,126929.0,255857.0,1.36,1.03,0.36,0,186.0
Africa,OWID_AFR,2021-05-02,18737253.0,14151042.0,4904881.0,0,56691.0,252661.0,1.36,1.03,0.36,0,184.0
Africa,OWID_AFR,2021-05-03,18912400.0,14294356.0,4947142.0,0,175147.0,263527.0,1.38,1.04,0.36,0,192.0
Africa,OWID_AFR,2021-05-04,19208526.0,14534058.0,5027649.0,0,296126.0,281655.0,1.4,1.06,0.37,0,205.0
Africa,OWID_AFR,2021-05-05,19465156.0,14750879.0,5082069.0,0,256630.0,166941.0,1.42,1.07,0.37,0,122.0
Africa,OWID_AFR,2021-05-06,19624727.0,14884555.0,5107964.0,0,159571.0,173178.0,1.43,1.08,0.37,0,126.0
Africa,OWID_AFR,2021-05-07,20217766.0,15433664.0,5166964.0,0,593039.0,237733.0,1.47,1.12,0.38,0,173.0
Africa,OWID_AFR,2021-05-08,20470293.0,15587001.0,5265772.0,0,252527.0,255676.0,1.49,1.13,0.38,0,186.0
